short_name,long_name,nationality,club
R. Tone,Ryosuke Tone,Japan,Oita Trinita
V. Rață,Vadim Rață,Moldova,Chindia Târgovişte
S. Ando,安藤 骏介,Japan,Kawasaki Frontale
M. O'Brien,Mark O'Brien,Republic of Ireland,Newport County
R. Murray,Ronan Murray,Republic of Ireland,Sligo Rovers
C. Clay,Craig Clay,England,Leyton Orient
J. Keohane,Jimmy Keohane,Republic of Ireland,Rochdale
B. Meredith,Bryan Meredith,United States,Seattle Sounders FC
J. Tjørnelund,Jacob Tjørnelund,Denmark,Hobro IK
A. Amadi-Holloway,Aaron Amadi-Holloway,Wales,Brisbane Roar
H. Toivomäki,Henri Toivomäki,Finland,HJK Helsinki
M. Sørensen,Marc  Rochester Sørensen,Denmark,Silkeborg IF
F. Pinteaux,Florian Pinteaux,France,FC Chambly Oise
Moyita,Sergio Dueñas Ruiz,Spain,RCD Mallorca
Liu Yang,刘洋,China PR,Tianjin TEDA FC
L. Lozoya,Luis Alberto Lozoya Mendoza,Mexico,Tiburones Rojos de Veracruz
Feng Jing,冯劲,China PR,Chongqing Dangdai Lifan FC SWM Team
D. Cortés,David Cortés,Colombia,Jaguares de Córdoba
V. Golemić,Vladimir Golemić,Serbia,Crotone
M. Hofrath,Marcel Hofrath,Germany,SV Waldhof Mannheim
M. Currarino,Michele Currarino,Italy,Virtus Entella
B. Kindsvater,Benjamin Kindsvater,Germany,TSV 1860 München
N. Albadawi,Nazmi Albadawi,Palestine,FC Cincinnati
J. Portillo,Justin Portillo,United States,Real Salt Lake
Sanz,Rodrigo Sanz Garro,Spain,CD Mirandés
D. Bulman,Dannie Bulman,England,Crawley Town
X. Pinoteau,Xavier Pinoteau,France,FC Chambly Oise
P. Jones,Paul Jones,England,Sheffield Wednesday
C. O'Grady,Chris O'Grady,England,Oldham Athletic
D. Flinta,Dennis Flinta,Denmark,Silkeborg IF
M. Moström,Mattias Moström,Sweden,Molde FK
Kim Seung Yong,김승용 金胜永,Korea Republic,Incheon United FC
T. Soares,Tom Soares,England,Stevenage
J. O'Brien,Joey O'Brien,Republic of Ireland,Shamrock Rovers
M. McGlinchey,Michael McGlinchey,New Zealand,Central Coast Mariners
E. Nolan,Eddie Nolan,Republic of Ireland,Crewe Alexandra
H. Ramírez,Horacio Martín Ramírez,Argentina,Unión Magdalena
G. Coke,Giles Coke,England,Oldham Athletic
A. Vanins,Andris Vaņins,Latvia,FC Zürich
S. Old,Steven Old,New Zealand,Morecambe
D. Vržogić,David Vržogić,Germany,SV Meppen
J. McNulty,Jim McNulty,Scotland,Rochdale
J. Harris,Jay Harris,England,Macclesfield Town
Cui Peng,崔鹏,China PR,Shandong Luneng TaiShan FC
Liu Zhenli,刘震理,China PR,Shandong Luneng TaiShan FC
Liu Weidong,刘卫东,China PR,Chongqing Dangdai Lifan FC SWM Team
Zhang Lu,张鹭,China PR,Tianjin Quanjian FC
Lei Yongchi,雷永驰,China PR,Tianjin TEDA FC
K. Etuhu,Kelvin Etuhu,Nigeria,Carlisle United
B. Tozer,Ben Peter Anthony Tozer,England,Cheltenham Town
A. Maccoppi,Andrea Maccoppi,Italy,Servette FC
Zhou Yajun,Yajun Zhou,China PR,Shenzhen FC
S. Frederiksen,Søren Frederiksen,Denmark,SønderjyskE
João Pereira,João Duarte Vieira Pereira,Portugal,SønderjyskE
T. Miller,Tom Miller,England,Bury
J. McGlashan,Jermaine McGlashan,England,Swindon Town
Feng Renliang,冯仁亮,China PR,Beijing Renhe FC
R. Siemaszko,Rafał Siemaszko,Poland,Arka Gdynia
Choi Hyun Tae,최현태 崔玄态,Korea Republic,Jeju United FC
M. Dolan,Matthew Dolan,England,Newport County
F. Adjei,Felix Adjei,Ghana,WSG Tirol
O. Sveen,Ole Amund Sveen,Norway,FK Bodø/Glimt
Park Sun Yong,박선용 朴宣勇,Korea Republic,Pohang Steelers
N. Fitzgerald,Nick Fitzgerald,Australia,Newcastle Jets
M. Al Qarni,Mohammed Al Qarni,Saudi Arabia,Al Wehda
H. Shaian,Hussain Abdoh Al Shaian,Saudi Arabia,Al Taawoun
M. Hazazi,Majed Hazazi,Saudi Arabia,Damac FC
A. Khrees,Awadh Ali Khrees,Saudi Arabia,Al Faisaly
M. Majrashi,Mohammed Majrashi,Saudi Arabia,Al Fateh
A. Majrashi,Abdulaziz Majrashi,Saudi Arabia,Al Fayha
T. Vollnhofer,Thomas Vollnhofer,Austria,SKN St. Pölten
A. Al Saleh,Abdullah Al Saleh,Saudi Arabia,Ettifaq FC
Park Hee Seong,박의성 朴熙胜,Korea Republic,FC Seoul
J. Matt,Jamille Matt,Jamaica,Newport County
Jwa Joon Hyeop,좌준협 左峻协,Korea Republic,Gyeongnam FC
Kim Tae Ho,김태호 Tae Ho Kim,Korea Republic,Incheon United FC
Jung Seon Ho,정선호 郑顺浩,Korea Republic,Daegu FC
Jo Soo Chul,조수철 赵秀哲,Korea Republic,Sangju Sangmu FC
C. Elliott,Christie Elliott,England,Carlisle United
A. Arboleda,Andrés Felipe Arboleda Hurtado,Colombia,Jaguares de Córdoba
J. Vieyra,Juan Vieyra,Argentina,Club Atlético Huracán
J. Thorsen,Jonas Thorsen,Denmark,AC Horsens
Zhang Lie,张烈,China PR,Beijing Renhe FC
Ely,Ely Ernesto Lopes Fernandes,Cape Verde,Gaz Metan Mediaş
K. Al Kaabi,Khalid Hussain Al Kabi,Saudi Arabia,Al Faisaly
M. O'Sullivan,Mark O’Sullivan,Republic of Ireland,Cork City
Zhou Tong,Tong Zhou,China PR,Wuhan Zall
Bai Yuefeng,白磊,China PR,Tianjin TEDA FC
K. Akyüz,Kerem Can Akyüz,Turkey,Denizlispor
N. Mousa,Naif Mousa,Saudi Arabia,Al Hazem
N. Atangana,Nigel Atangana,France,Exeter City
L. Marić,Luka Marić,Croatia,Arka Gdynia
Jiang Jihong,姜积弘,China PR,Guangzhou R&F FC
W. Mosquera,Wílder Mosquera Romaña,Colombia,Atlético Huila
K. Garcia,Kevin Garcia,United States,Houston Dynamo
S. Al Masrahi,Sultan Mohammed Al Masrahi,Saudi Arabia,Damac FC
G. Reilly,Gavin Reilly,Scotland,Cheltenham Town
R. Takahashi,髙橋 諒,Japan,Matsumoto Yamaga
I. Isa,Ismail Isa,Bulgaria,Bulgaria
S. Lewicki,Szymon Lewicki,Poland,Raków Częstochowa
F. Ali,Ferid Ali,Sweden,AFC Eskilstuna
H. Nakabayashi,中林 洋次,Japan,Yokohama F. Marinos
Wang Wei,王伟,China PR,Shanghai Greenland Shenhua FC
D. Lloyd,Danny Lloyd,England,Salford City
Zhang Cheng,张诚,China PR,Tianjin Quanjian FC
A. Al Fiqi,Ahmed Al Fiqi,Saudi Arabia,Al Hilal
W. Piñones,Wilson Piñones,Chile,Deportes Iquique
E. Kupen,Endre Kupen,Norway,FK Bodø/Glimt
Ma Xingyu,马兴煜,China PR,Henan Jianye FC
P. Di Nardo,Pietro Di Nardo,Switzerland,Neuchâtel Xamax
Javi Pérez,Javier Pérez Páez,Spain,Extremadura UD
T. Englund,Tobias Englund,Sweden,Falkenbergs FF
L. Hroššo,Lukáš Hroššo,Slovakia,Cracovia
Liu Yi,Yi Liu,China PR,Wuhan Zall
M. Pleașcă,Marian Pleașcă,Romania,Gaz Metan Mediaş
R. Dâlbea,Răzvan Dâlbea,Romania,FC Hermannstadt
N. Bădic,Narcis Bădic,Romania,Politehnica Iaşi
O. Ceylan,Oğuz Ceylan,Turkey,Gazişehir Gaziantep F.K.
B. Șandru,Bogdan Șandru,Romania,Chindia Târgovişte
C. Dinu,Cornel Dinu,Romania,Chindia Târgovişte
D. Novac,Daniel Novac,Romania,Chindia Târgovişte
A. Marinescu,Andrei Marinescu,Romania,Universitatea Craiova
A. Țigănașu,Alexandru Țigănașu,Romania,FC Botoşani
D. Pillai,Devindra Pillai,India,India
A. Velasco,Alan Velasco,Argentina,Independiente
M. Bird,Max Bird,England,Derby County
Y. Begraoui,Yanis Begraoui,France,AJ Auxerre
A. Bella-Kotchap,Armel Bella-Kotchap,Germany,VfL Bochum 1848
C. Haydar,César Haydar,Colombia,Junior FC
E. Alvarez,Efrain Alvarez,Mexico,LA Galaxy
A. Balanta,Andrés Felipe Balanta Cifuentes,Colombia,Deportivo Cali
G. Innocent,Garissone Innocent,France,Paris Saint-Germain
E. Sørensen,Elias Sørensen,Denmark,Carlisle United
S. Sohm,Simon Sohm,Switzerland,FC Zürich
S. Bajic,Stefan Bajic,France,AS Saint-Étienne
P. Glatzel,Paul Glatzel,Germany,Liverpool
V. De Baunbag,Victor De Baunbag,Spain,RCD Mallorca
I. Gruev,Ilia Gruev,Bulgaria,SV Werder Bremen
A. Hickey,Aaron Hickey,Scotland,Heart of Midlothian
M. Mercan,Münir Mercan,Germany,FC Schalke 04
J. Latibeaudiere,Joel Latibeaudiere,England,Manchester City
B. Wilmot,Ben Wilmot,England,Swansea City
A. Karnuçu,Abdussamed Karnuçu,Turkey,Galatasaray SK
A. Lewis,Adam Lewis,England,Liverpool
C. Bassett,Cole Bassett,United States,Colorado Rapids
N. Djouahra,Näis Djouahra,France,Real Sociedad
D. Vlahovic,Dusan Vlahovic,Serbia,Fiorentina
A. van der Heide,Arjen van der Heide,Netherlands,SC Heerenveen
K. Sardella,Killian Sardella,Belgium,RSC Anderlecht
P. Bargiel,Przemysław Bargiel,Poland,Milan
L. Sandoval,Luis Sandoval,Colombia,Junior FC
E. Balcombe,Ellery Balcombe,England,Brentford
K. Klaesson,Kristoffer Klaesson,Norway,Vålerenga Fotball
M. Bułka,Marcin Bułka,Poland,Paris Saint-Germain
S. Laiton,Sonny Patrick Laiton,France,AJ Auxerre
B. Adekanye,Bobby Adekanye,Netherlands,Lazio
V. Kušej,Vasil Kušej,Czech Republic,SG Dynamo Dresden
B. Garré,Benjamín Garré,Argentina,Manchester City
G. Corbo,Gabriele Corbo,Italy,Bologna
J. Scott,James Scott,Scotland,Motherwell
J. Peñaloza,Juan Peñaloza,Colombia,SD Huesca
F. Navarro,Federico Navarro,Argentina,Club Atlético Talleres
F. Hartmann,Fabrice Hartmann,Germany,RB Leipzig
I. Tarasov,Ivan Tarasov,Russia,HJK Helsinki
T. Raschl,Tobias Raschl,Germany,Borussia Dortmund
Lee Soo Bin,이수빈 Soo Bin Lee,Korea Republic,Pohang Steelers
G. Ahadme,Gassan Ahadme,Morocco,Norwich City
L. Greiml,Leo Greiml,Austria,SK Rapid Wien
Jesús Alvarez,Jesús Alvarez Aguado,Spain,Real Zaragoza
B. Bida,Bartosz Bida,Poland,Jagiellonia Białystok
W. Taïbi,Waniss Taïbi,France,Angers SCO
A. Martina,Alessandro Martina,Italy,Trapani
T. Baack,Tom Baack,Germany, SSV Jahn Regensburg
J. Pereyra,Joaquín Pereyra,Argentina,Rosario Central
G. Güney,Gökay Güney,Turkey,Galatasaray SK
B. Morris,Ben Morris,England,Ipswich Town
R. Sears,Ryan Sears,England,Shrewsbury
B. Şen,Batuhan Ahmet Şen,Turkey,Galatasaray SK
O. Brynhildsen,Ola Brynhildsen,Norway,Stabæk Fotball
E. Vertainen,Eetu Vertainen,Finland,HJK Helsinki
S. Szota,Serafin Szota,Poland,Wisła Kraków
B. Galván,Braian Alejandro Galván,Argentina,Club Atlético Colón
J. Lahne,Jack Lahne,Sweden,Amiens SC
K. Sessa,Kevin Sessa,Germany,1. FC Heidenheim 1846
R. Edmondson,Ryan Edmondson,England,Leeds United
A. Nava,Antonio Nava,Mexico,Club Tijuana
A. Tripaldelli,Alessandro Tripaldelli,Italy,Sassuolo
Algobia,Ángel Algobia Esteves,Spain,Rayo Vallecano
K. Cannavò,Kevin Cannavò,Italy,Empoli
H. Luna,Hernan Luna,Colombia,Unión Magdalena
A. Ayala,Andrés Ayala,Argentina,Estudiantes de La Plata
C. Aguirre,César Aguirre,Mexico,Club Necaxa
Elias Ramírez,Elias Ramírez García,Spain,RCD Mallorca
Jara,Roberto Jara Fernandez,Spain,CD Numancia
T. Nkada,Timothé Nkada,France,Stade de Reims
T. Sabitzer,Thomas Sabitzer,Austria,LASK Linz
Carlos Kevin,Carlos Kevin Omoruyi Benjamin,Spain,SD Huesca
A. Dallas,Andrew Dallas,Scotland,Cambridge United
P. Mukairu,Paul Omo Mukairu,Nigeria,Antalyaspor
F. Çetinkaya,Furkan Çetinkaya,Turkey,Kasimpaşa SK
D. Duhaney,Demeaco Duhaney,England,Huddersfield Town
E. Embleton,Elliot Embleton,England,Sunderland
S. Lomónaco,Sebastián Lomónaco,Argentina,Godoy Cruz
S. Stubbs,Sam Stubbs,England,Hamilton Academical FC
F. Myhre,Felix Horn Myhre,Norway,Vålerenga Fotball
E. Botheim,Erik Botheim,Norway,Rosenborg BK
J. Moder,Jakub Moder,Poland,Lech Poznań
P. Sussek,Patrick Sussek,Germany,FC Ingolstadt 04
O. Bailey,Odin Bailey,England,Birmingham City
I. Ogbu,Igoh Ogbu,Nigeria,Rosenborg BK
Álvaro García,Álvaro García Segovia,Spain,Albacete BP
A. Nguiamba,Aurélien Nguiamba,France,AS Nancy Lorraine
O. Atilgan,Osman Atilgan,Germany,SG Dynamo Dresden
A. Verda,Álvaro Verda,Mexico,Querétaro
M. Kaufmann,Mikkel Kaufmann,Denmark,Aalborg BK
M. Kumbulla,Marash Kumbulla,Albania,Hellas Verona
A. Baroan,Antoine Baroan,France,Chamois Niortais Football Club
E. Majetschak,Erik Majetschak,Germany,FC Erzgebirge Aue
K. Arima,有馬 幸太郎,Japan,Kashima Antlers
T. Ducrocq,Tom Ducrocq,France,Racing Club de Lens
K. Mouanga,Kévin Mouanga,France,Angers SCO
R. Fernández,Roberto Fernández,Bolivia,Bolivia
S. Soto,Sebastian Soto,United States,Hannover 96
M. Diarra,Moussa Diarra,France,Toulouse Football Club
B. Ndilu,Bridge Ndilu,France,FC Nantes
A. Francis,Abu Francis,Ghana,FC Nordsjælland
R. Yilmaz,Ridvan Yilmaz,Turkey,Beşiktaş JK
C. Ainley,Callum Ainley,England,Crewe Alexandra
I. Wilson,Iain Wilson,Scotland,Kilmarnock
M. Ndjoli,Mikael Ndjoli,England,Gillingham
L. Rivas,Leonel Rivas,Argentina,Club Atlético Talleres
M. Pompetti,Marco Pompetti,Italy,Sampdoria
D. Desprez,Didier Desprez,France,Racing Club de Lens
Liu Ruofan,刘若钒,China PR,Shanghai Greenland Shenhua FC
I. Kanu,Idris Kanu,England,Peterborough United
G. Gori,Gabriele Gori,Italy,Fiorentina
M. Cerofolini,Michele Cerofolini,Italy,Fiorentina
F. Murray,Fraser Murray,Scotland,Hibernian
E. Chilufya,Edward Chilufya,Zambia,Djurgårdens IF
D. Wanner,Dominik Wanner,Germany,Borussia Dortmund
N. Mekonnen,Naod Mekonnen,Germany,SC Preußen Münster
A. Gürleyen,Ahmet Gürleyen,Germany,1. FSV Mainz 05
M. Młyński,Mateusz Młyński,Poland,Arka Gdynia
M. Talbi,Montassar Talbi,France,Çaykur Rizespor
M. Belkheir,Mouhamed Menaour  Belkheir,Algeria,Torino
F. Schwarzholz,Felix Schwarzholz,Germany,FC Augsburg
E. Bullaude,Ezequiel Bullaude,Argentina,Godoy Cruz
R. Sans,Romain Sans,France,FC Sochaux-Montbéliard
S. Mackie,Sean Mackie,Scotland,Hibernian
B. Moltenis,Boris Moltenis,France,FC Sochaux-Montbéliard
J. Sánchez de León,Juan Sánchez de León,Argentina,Racing Club
R. González,Rodrigo González,Argentina,Rosario Central
M. Minchev,Martin Minchev,Bulgaria,Bulgaria
A. Lungwitz,Alexander Lungwitz,Germany,SpVgg Greuther Fürth
K. Ehlers,Kevin Ehlers,Germany,SG Dynamo Dresden
Patrick,Patrick Luan dos Santos,Brazil,FC Sion
A. Ugur,Adnan Ugur,Belgium,Fortuna Sittard
S. Bakaev,Soltmurad Bakaev,Russia,Spartak Moscow
Barredo,Pablo Barredo Calvo,Spain,SD Ponferradina
Ismael,Ismael Gutiérrez Montilla,Spain,Real Betis
Rúben Fonseca,Rúben Miguel Valente Fonseca,Portugal,CD Tondela
V. Pinto,Vincenzo Pinto,Italy,Spezia
I. Buckley-Ricketts,Isaac Buckley-Ricketts,England,Peterborough United
J. Tilley,James Tilley,England,Brighton & Hove Albion
M. Peano,Marcos Hernán Peano,Argentina,Unión de Santa Fe
C. Kahraman,Cihan Kahraman,Turkey,1. FC Union Berlin
A. Maldonado,Alexis Maldonado,Argentina,Club Atlético Banfield
S. Smith,Sam Smith,England,Cambridge United
S. Pasquali,Sebastian Pasquali,Australia,Western United FC
V. Xenopoulos,Vasilios Xenopoulos,Greece,Panathinaikos FC
M. İnan,Mustafa İnan,Turkey,Antalyaspor
Yeun Jong Gyu,윤종규 Jong Gyu Yeun,Korea Republic,FC Seoul
C. O'Hare,Callum O'Hare,England,Aston Villa
N. Røjkjær,Nicklas Røjkjær,Denmark,Esbjerg fB
A. Hartigan,Anthony Hartigan,England,AFC Wimbledon
M. Fossey,Marlon Fossey,United States,Fulham
R. Boultam,Reda Boultam,Netherlands,US Cremonese
R. Souici,Rayan Souici,France,Servette FC
C. Hendry,Callum Hendry,Scotland,St. Johnstone FC
F. Malagueño,Franco Malagueño,Argentina,Club Atlético Talleres
A. Al Hamdan,Abdullah Al Hamdan,Saudi Arabia,Al Shabab
M. Čović,Maurice Čović,Germany,Hertha BSC
S. Asta,Simon Asta,Germany,FC Augsburg
C. Palacios,Carlos Alonso Enrique Palacios Núñez,Chile,Unión Española
Daniel Rebollo,Daniel Rebollo Franco,Spain,Real Betis
T. Badaloni,Tomás Oscar Badaloni,Argentina,Godoy Cruz
P. Sokół,Paweł Sokół,Poland,Korona Kielce
T. van den Belt,Thomas van den Belt,Netherlands,PEC Zwolle
S. Tiffoney,Scott Tiffoney,Scotland,Livingston FC
B. Hadžić,Benjamin Hadžić,Bosnia Herzegovina,Hannover 96
N. Capaldo,Nicolás Capaldo,Argentina,Boca Juniors
J. Rivera,Jean Lucas Rivera,Colombia,Atlético Nacional
I. Baidoo,Ishmael Baidoo,Ghana,Górnik Zabrze
Li Haoran,Haoran Li,China PR,Royal Antwerp FC
D. Köhn,Derrick Köhn,Germany,Bayern München II
A. Maiz,Aldo Maiz,Paraguay,Defensa y Justicia
M. Çapkan,Mahsun Çapkan,Turkey,Çaykur Rizespor
G. Lapslie,George Lapslie,England,Charlton Athletic
K. Benyu,Kundai Benyu,Zimbabwe,Helsingborgs IF
H. Coulson,Hayden Coulson,England,Middlesbrough
T. Glover,Thomas Glover,Australia,Melbourne City FC
F. Puntoriere,Francesco Puntoriere,Italy,Virtus Entella
M. Di Paola,Manuel Di Paola,Italy,Virtus Entella
A. Lewis,Aaron Lewis,Wales,Lincoln City
R. Hale,Ronan Hale,Republic of Ireland,St. Patrick's Athletic
M. Mølvadgaard,Marcus Mølvadgaard,Denmark,Randers FC
D. Franke,Dominik Franke,Germany,SV Wehen Wiesbaden
K. Denkey,Ahoueke Denkey,Togo,Nîmes Olympique
J. Torres,Juan Torres,United States,New York City FC
J. Díaz,Juan Ignacio Díaz,Argentina,Estudiantes de La Plata
H. Al Ghamdi,Hamed Al Ghamdi,Saudi Arabia,Ettifaq FC
R. Sadiku,Rijad Sadiku,Bosnia Herzegovina,Royal Excel Mouscron
G. Tanner,George Tanner,England,Morecambe
W. Kuzain,Wan Kuzain Wan Kamal,United States,Sporting Kansas City
C. Frommann,Constantin Frommann,Germany,SG Sonnenhof Großaspach
Y. Otto,Yari Otto,Germany,Eintracht Braunschweig
J. Stanić,Jozo Stanić,Croatia,FC Augsburg
M. Kilman,Max Kilman,England,Wolverhampton Wanderers
M. Rieder,Maarten Rieder,Netherlands,ADO Den Haag
M. Batmaz,Malik Batmaz,Turkey,Karlsruher SC
A. Mironov,Alexey Mironov,Russia,Lokomotiv Moscow
M. De Smet,Mathieu De Smet,Belgium,SV Zulte-Waregem
K. Maradishvili,Konstantin Maradishvili,Russia,PFC CSKA Moscow
F. Alves,Frederik Alves,Denmark,Silkeborg IF
Y. Ibrahim,Yassin Ibrahim,Germany,FC Würzburger Kickers
W. Coulibaly,Woyo Coulibaly,France,Le Havre AC
R. Neciu,Robert Neciu,Romania,Chindia Târgovişte
N. Kölle,Niklas Kölle,Germany,1. FSV Mainz 05
A. Álvarez,Agustín Álvarez,Argentina,Godoy Cruz
F. Sachpekidis,Filip Sachpekidis,Sweden,Kalmar FF
V. Arboleda,Victor Arboleda,Colombia,Alianza Petrolera
D. Margush,Daniel Margush,Australia,Adelaide United
J. Kitolano,John Kitolano,Norway,Wolverhampton Wanderers
J. Karlstrøm,Jacob Karlstrøm,Norway,Tromsø IL
D. Ceter,Damir Ceter,Colombia,Chievo Verona
S. Spahiu,Sebastjan  Spahiu,Belgium,Royal Excel Mouscron
D. Ryan,Dylan Ryan,Australia,Willem II
A. Collins,Archie Collins,England,Exeter City
F. Garcés,Facundo Tomás Garcés,Argentina,Club Atlético Colón
E. Cantú,Eric David Cantú Guerrero,Mexico,Monterrey
M. Borgogno,Matías  Borgogno,Argentina,Vélez Sarsfield
B. Żynel,Bartłomiej Żynel,Poland,Wisła Płock
L. Coordes,Luis Coordes,Dominican Republic,FC St. Pauli
J. Asiri,Jaber Asiri,Saudi Arabia,Al Wehda
J. Bednarczyk,Jakub Bednarczyk,Poland,FC St. Pauli
L. Martínez,Luis Martínez,Mexico,Club Tijuana
J. Bartels,Jan-Christoph Bartels,Germany,SV Wehen Wiesbaden
V. Drkušić,Vanja Drkušić,Slovenia,SC Heerenveen
V. Gendrey,Valentin Gendrey,France,Amiens SC
Manu Navarro,Manuel Navarro Sánchez,Spain,Rayo Vallecano
R. Musaba,Richie Musaba,Netherlands,Vitesse
P. Vassell,Peter-Lee Vassell,Jamaica,Los Angeles FC
J. García,José García,Mexico,Tigres U.A.N.L.
M. Velisar,Mihai Velisar,Romania,Gaz Metan Mediaş
A. Stahl,Albert Stahl,Romania,Astra Giurgiu
M. Cavar,Marin Cavar,Switzerland,Chievo Verona
A. Tribuzzi,Alessio Tribuzzi,Italy,Frosinone
V. Kucheruk,Vladyslav Kucheruk,Ukraine,Dynamo Kyiv
N. Husin,Noor Husin,Afghanistan,Stevenage
T. Watson,Tennai Watson,England,Reading
C. Miller,Calvin Miller,Scotland,Celtic
J. Valencia,Johan Valencia,Colombia,Unión Magdalena
A. Wilk,Adam Wilk,Poland,Cracovia
A. Chrzanowski,Adam Chrzanowski,Poland,Lechia Gdańsk
I. Rojas,Iván Rojas,Colombia,Envigado FC
E. Kastrati,Elhan Kastrati,Albania,Pescara
H. Sarpei,Hans Nunoo Sarpei,Ghana,SpVgg Greuther Fürth
A. Jung,Andrew Jung,France,La Berrichonne de Châteauroux
V. van den Bogert,Victor van den Bogert,Netherlands,Willem II
H. Delcroix,Hannes Delcroix,Belgium,RKC Waalwijk
U. Bapoh,Ulrich Bapoh,Germany,VfL Bochum 1848
C. Echavarría,Cristian David Echavarría Vélez,Colombia,Independiente Medellín
R. Bidounga,Ryan Bidounga,France,AS Nancy Lorraine
A. Al Asmari,Ali Hassan Al Asmari,Saudi Arabia,Al Ahli
J. Giraldo,Jaime Giraldo,Colombia,Independiente Medellín
J. Issa,Jabor Issa,Saudi Arabia,Al Ittihad
J. Marcinkowski,James Marcinkowski,United States,San Jose Earthquakes
I. Koné,Ibrahima Koné,Mali,FK Haugesund
A. Angulo,Anderson Darley Angulo Tenorio,Colombia,Atlético Bucaramanga
C. Tiéhi,Christ Junior Tiéhi,Ivory Coast,Le Havre AC
A. Al Yami,Abdulrahman Al Yami,Saudi Arabia,Al Hazem
S. Schimandl,Stephan Schimandl,Austria,SV Mattersburg
J. Williams,JJ Williams,United States,Columbus Crew SC
Antón,Antón Escobar Tapiias,Spain,CD Lugo
Y. Nader,Yahia Nader,Egypt,Al Ain FC
R. Mudražija,Robert Mudražija,Croatia,FC København
V. Danale,Vlad Danale,Romania,Politehnica Iaşi
P. Obermüller,Patrick Obermüller,Austria,TSV Hartberg
T. Keller,Thomas Keller,Germany,FC Ingolstadt 04
D. Schnegg,David Schnegg,Austria,LASK Linz
A. Andrade,Andrés Andrade,Panama,LASK Linz
T. Dallison,Tom Dallison,England,Crawley Town
H. Castegren,Henrik Castegren,Sweden,IFK Norrköping
O. Zanzala,Offrande Zanzala,Congo,Accrington Stanley
C. Jacob,Corentin Jacob,France,Rodez Aveyron Football
B. Barclay,Ben Barclay,England,Accrington Stanley
S. Karakoç,Samed Karakoç,Turkey,Fenerbahçe SK
M. Butcher,Matt Butcher,England,Bournemouth
J. Pritchard,Joe Pritchard,England,Accrington Stanley
M. Brink,Mark Brink,Denmark,Esbjerg fB
K. Vásquez,Kevin Vásquez,Chile,Unión La Calera
Sergio García,Sergio García Vázquez,Spain,Real Zaragoza
E. Ojeda,Emanuel Ojeda,Argentina,Rosario Central
L. Bätge,Leon Bätge,Germany,FC Würzburger Kickers
T. Reid,Tyler Reid,England,Swindon Town
S. Adrian,Samuel Adrian,Sweden,Kalmar FF
A. Tîrcoveanu,Andrei Tîrcoveanu,Romania,FC Viitorul
O. Ural,Onur Ural,Turkey,Kasimpaşa SK
Madger Gomes,Madger Antonio Gomes Ajú,Spain,Doncaster Rovers
R. Meraz,Roberto Ismael Meraz Bernal,Mexico,Monarcas Morelia
K. Senkbeil,Kilian Senkbeil,Germany,Bayern München II
Bruno Jordão,Bruno André Cavaco Jordão,Portugal,Wolverhampton Wanderers
Go Myeong Seok,고명석 Myeong Seok Go,Korea Republic,Suwon Samsung Bluewings
Guo Quanbo,郭全博,China PR,Beijing Sinobo Guoan FC
H. Gilmour,Harvey Gilmour,England,Tranmere Rovers
E. Ebosse,Enzo Ebosse,France,Le Mans FC
D. Balanyuk,Denys Balanyuk,Ukraine,Wisła Kraków
J. Ogenia,Justin Ogenia,Curacao,Willem II
M. Real,Matt Real,United States,Philadelphia Union
M. Behrens,Morten Behrens,Germany,1. FC Magdeburg
Gori López,Gregorio López Teruel,Spain,Extremadura UD
Y. Bangsow,Yannik Bangsow,Germany,Eintracht Braunschweig
S. Karweina,Sinan Karweina,Germany,MSV Duisburg
A. López,Antonio López,Mexico,Club América
G. Kilama,Guy-Marcelin Kilama,Cameroon,Chamois Niortais Football Club
A. Hindi,Abdulbasit Hindi,Saudi Arabia,Al Ahli
A. Vogliacco,Alessandro Vogliacco,Italy,Pordenone
Sergio,Sergio Pérez Jaén,Spain,Cádiz CF
J. Quiñones,Jeison Estiven Quiñónes Botina,Colombia,Rionegro Águilas
L. Yamaguchi,山口 瑠伊,Japan,Extremadura UD
D. Abella,Diego Abella,Mexico,Puebla FC
K. Hernández,Kaleth Hernández,Mexico,Monterrey
M. Nuhu,Musah Nuhu,Ghana,FC St. Gallen
A. Kanther,Anton Kanther,Germany,1. FC Magdeburg
M. Temp,Marvin Temp,Germany,1. FC Magdeburg
M. Guthörl,Michael Guthörl,Germany,SV Wehen Wiesbaden
L. Borri,Lorenzo Borri,Italy,Castellammare di Stabia
A. Mallamo,Alessandro Mallamo,Italy,Castellammare di Stabia
N. Kolesovs,Nikita Kolesovs,Latvia,FC Botoşani
L. Donnelly,Liam Donnelly,Northern Ireland,Motherwell
J. Wrąbel,Jakub Wrąbel,Poland,Wisła Płock
C. Burton,Callum Burton,England,Cambridge United
A. Gilchrist,Ally Gilchrist,Scotland,Derry City
L. Salvesen,Lars-Jørgen Salvesen,Norway,Strømsgodset IF
J. Jones,James Jones,Scotland,Crewe Alexandra
N. Bürgy,Nicolas Bürgy,Switzerland,BSC Young Boys
R. Grego-Cox,Reece Grego-Cox,Republic of Ireland,Crawley Town
A. Zendejas,Alejandro Zendejas Saavedra,Mexico,Guadalajara
A. Melo,Alejandro Eduardo Melo,Argentina,Coquimbo Unido
F. Mosquera,Fabián Mosquera,Colombia,Jaguares de Córdoba
